fecha|modeloAvion|lugarAccidente|fallecidosTotales
Jul 13, 2020|PZL-Mielec AN-2|Kistenevo, Nizhny Novgorod oblast|2
Jul 5, 2020|De Havilland DHC-2 Beaver|Lake Coeur d'Alene, Idaho|6
Jun 15, 2020|Gulfstream GII|Machiques, Zulia|1
Jun 8, 2020|Lockheed C-130 Hercules|Al Taji AAF, Salāh ad-Dīn (صلاح الدين)|0
May 28, 2020|Rockwell Shrike Commander 500|Aniak, Alaska|0
May 28, 2020|BAe 125|Sartaneja, Corozal|0
May 22, 2020|Airbus A320|Karachi-Muhammad Ali Jinnah-Quaid-e-Azam, Sindh (سنڌ سندھ)|98
May 9, 2020|Cessna 402|Hampton-Henry County, Georgia|0
May 5, 2020|Learjet 35|Esquel, Chubut|3
May 4, 2020|Embraer EMB-120 Brasília|Bardale, Baay (باي‎)|5
Apr 19, 2020|BAe 125|La Libertad, Petén|2
Mar 22, 2020|BAe 125|Caballo Blanco, Retalhuleu|0
Mar 5, 2020|Cessna 208B Grand Caravan|Rhinelander, Wisconsin|0
Feb 25, 2020|Learjet 55 Longhorn|Monmouth, New Jersey|0
Feb 20, 2020|Cessna 510 Citation Mustang|Daytona Beach-Intl, Florida|0
Feb 9, 2020|Boeing 737-500|Usinsk, Republic of Komi|0
Feb 6, 2020|Cessna 208B Grand Caravan|Eureka-Murray Field, California|0
Jan 29, 2020|Beechcraft 60 Duke|Big Spring, Texas|0
Jan 27, 2020|Bombardier Global Express/XRS|Sharana AFB, Parwan|2
Jan 27, 2020|McDonnell Douglas MD-83|Bandar-e Mahshahr, Khuzestan|0
Jan 23, 2020|Cessna 550 Citation II|George, Western Cape|3
Dec 27, 2019|Fokker 100|Almaty, Almaty Province|12
Dec 18, 2019|Beechcraft 200 Super King Air|Fresno, California|0
Dec 14, 2019|Angel Aircraft Corporation Model 44 Angel|Mareeba, Queensland|2
Dec 9, 2019|Cessna 208B Grand Caravan|Victoria, Texas|1
Dec 2, 2019|BAe 125|San Andrés Villa Seca, Retalhuleu|0
Nov 29, 2019|Piper PA-31-350 Navajo Chieftain|Cooper Landing, Alaska|3
Nov 23, 2019|Beechcraft 200 Super King Air|Saint Jean, South|0
Nov 21, 2019|Boeing 737-800|Odessa, Odessa Oblast|0
Nov 14, 2019|Cessna 550 Citation II|Maraú-Barra Grande, Bahia|5
Oct 29, 2019|Cessna 414 Chancellor|Colonia, New Jersey|1
Oct 17, 2019|Saab 2000|Unalaska-Tom Madsen, Alaska|1
Oct 14, 2019|Socata TBM-850|Breckenridge-Stephens County, Texas|0
Oct 5, 2019|Piper PA-60 Aerostar (Ted Smith 600)|Kokomo, Indiana|1
Oct 4, 2019|Antonov AN-12|Lviv-Danylo Halytskyi, Lviv Oblast|5
Oct 2, 2019|Boeing B-17 Flying Fortress|Windsor Locks-Bradley, Connecticut|7
Sep 30, 2019|Gulfstream GII|Blue Creek, Orange Walk|0
Sep 29, 2019|Cessna 421A Golden Eagle I|DeLand, Florida|3
Aug 30, 2019|Antonov AN-2|Lake Siljan-Kuel, Republic of Yakutia (Sakha)|2
Aug 27, 2019|Cessna 560XLS Citation Excel|Aligarh-Dhanipur, Uttar Pradesh|0
Aug 15, 2019|Cessna 680 Citation Latitude|Elizabethton, Tennessee|0
Aug 6, 2019|Cessna 208B Grand Caravan|Mayo, Yukon|2
Aug 2, 2019|Grumman S-2 Tracker|Générac, Gard|1
Aug 1, 2019|Douglas C-118 Liftmaster|Candle, Alaska|0
Jul 26, 2019|Cessna 208A Caravan|Addenbroke Island, British Columbia|4
Jul 17, 2019|Cessna 550 Citation II|Mesquite, Nevada|0
Jul 14, 2019|GippsAero GA8 Airvan|Umeå, Västerbotten|9
Jul 12, 2019|De Havilland DHC-2 Beaver|Lake Boulène, Quebec|3
Jul 11, 2019|De Havilland DHC-2 Beaver|Hawk Junction, Ontario|2
Jul 8, 2019|Cessna 208B Grand Caravan|Bethel, Alaska|0
Jul 1, 2019|Boeing 737-800|Mumbai-Chhatrapati Shivaji (Santa Cruz), Maharashtra|0
Jun 30, 2019|Beechcraft 350 Super King Air|Addison, Texas|10
Jun 21, 2019|Beechcraft 90 King Air|Dillingham (O'ahu Island), Hawaii|11
Jun 20, 2019|PZL-Mielec AN-2|Rodina, Akmola|2
Jun 9, 2019|PZL-Mielec AN-2|Dabady, Irkutsk oblast|0
May 22, 2019|Cessna 550 Citation II|Indianapolis-Regional, Indiana|2
May 20, 2019|De Havilland DHC-2 Beaver|Metlakatla, Alaska|2
May 13, 2019|De Havilland DHC-2 Beaver|Ketchikan, Alaska|5
May 13, 2019|De Havilland DHC-3 Otter|Ketchikan, Alaska|1
May 8, 2019|De Havilland DHC-8-400 (Dash-8)|Yangon-Mingaladon, Yangon Region|0
May 5, 2019|Sukhoi Superjet 100-95|Moscow-Sheremetyevo, Moscow oblast|41
May 5, 2019|Beechcraft 60 Duke|Santa Rosa-Route 66, New Mexico|2
May 1, 2019|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Makkovik, Newfoundland & Labrador|1
Apr 24, 2019|Beechcraft 200 Super King Air|Gillam, Manitoba|0
Apr 24, 2019|Cessna 551 Citation II|Siegerland, North Rhine-Westphalia|0
Apr 23, 2019|Cessna 208A Caravan|Dry Tortugas, Florida|0
Apr 18, 2019|Beechcraft 60 Duke|Fullerton, California|1
Apr 14, 2019|Let L-410|Lukla-Tenzing-Hillary, Sagarmatha|3
Apr 13, 2019|Piper PA-31-350 Navajo Chieftain|Sayaxché, Petén|2
Apr 5, 2019|Piper PA-31-350 Navajo Chieftain|San Rafael de Yuma, La Altagracia|0
Mar 31, 2019|Epic LT|Egelsbach, Hesse|3
Mar 23, 2019|Beechcraft 200 Super King Air|Matsieng, Kgatleng District|1
Mar 22, 2019|Rockwell Sabreliner 60|Bajamar, Cortés|0
Mar 12, 2019|Piper PA-31-350 Navajo Chieftain|Madeira, Ohio|1
Mar 10, 2019|BAe 125|San Pedro de Peralta, Quintana Roo|1
Feb 28, 2019|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Shreveport-Downtown, Louisiana|2
Feb 26, 2019|Gulfstream G200|Moscow-Sheremetyevo, Moscow oblast|0
Feb 23, 2019|Boeing 767-300|Anahuac, Texas|3
Feb 15, 2019|Cessna 421C Golden Eagle III|Canadian, Texas|2
Feb 9, 2019|Cessna 208A Caravan|Caracaraí, Roraima|0
Feb 8, 2019|Convair C-131 Samaritan|Miami, Florida|1
Feb 6, 2019|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Aurora-State, Oregon|0
Feb 3, 2019|Cessna 414 Chancellor|Yorba Linda, California|5
Jan 14, 2019|Boeing 707|Fath, Tehran City District|15
Dec 20, 2018|Cessna 560 Citation V|Atlanta-Fulton County-Brown Field, Georgia|4
Dec 8, 2018|Britten-Norman Islander|West Portal (Southwest National Park), Tasmania|1
Nov 30, 2018|Cessna 550 Citation II|Fargo-Hector, North Dakota|0
Nov 18, 2018|Cessna 441 Conquest|Harmon, North Dakota|3
Nov 7, 2018|Boeing 747-400|Halifax-Stanfield, Nova Scotia|0
Oct 21, 2018|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Hurricane, Utah|0
Oct 10, 2018|Sukhoi Superjet 100-95|Yakutsk-Intl (Platon Oyunsky), Republic of Yakutia (Sakha)|0
Oct 3, 2018|Antonov AN-26|Khartoum, Khartoum (الخرطوم)|0
Oct 3, 2018|Antonov AN-32|Khartoum, Khartoum (الخرطوم)|0
Sep 28, 2018|Boeing 737-800|Weno Island, Chuuk Island|1
Sep 27, 2018|Cessna 208B Grand Caravan|Pacific Ocean, All World|1
Sep 25, 2018|Beechcraft 200 Super King Air|Oscoda-Wurtsmith, Michigan|1
Sep 20, 2018|De Havilland DHC-2 Beaver|Igiugig, Alaska|0
Sep 15, 2018|Beechcraft 90 King Air|Ipumirim, Santa Catarina|1
Sep 9, 2018|Let L-410|Yirol, Lakes (البحيرات)|20
Sep 6, 2018|Cessna 340|Saint Clair County (Port Huron), Michigan|1
Sep 6, 2018|Beechcraft 100 King Air|Itapaci, Goiás|0
Sep 5, 2018|Beechcraft 90 King Air|Vila Rica, Mato Grosso|0
Sep 1, 2018|Boeing 737-800|Sochi-Adler, Krasnodar Krai|0
Aug 30, 2018|Beechcraft 60 Duke|Destin-Fort Walton Beach, Florida|4
Aug 21, 2018|Piper PA-31-310 Navajo|Limoges, Haute-Vienne|0
Aug 16, 2018|Boeing 737-800|Manila-Ninoy Aquino, Metro Manila|0
Aug 13, 2018|Cessna 525 CitationJet CJ1|Payson, Utah|1
Aug 11, 2018|PAC 750XL - Pacific Aerospace Corporation|Oksibil, Special Region of Papua|8
Aug 10, 2018|De Havilland DHC-8-400 (Dash-8)|Ketron Island, Washington|1
Aug 5, 2018|Cessna 414 Chancellor|Santa Ana-John Wayne, California|5
Aug 4, 2018|Junkers JU.52|Piz Segnas, Glarus|20
Aug 1, 2018|Piper PA-31-310 Navajo|Mt Rae, Alberta|2
Jul 30, 2018|Piper PA-60 Aerostar (Ted Smith 600)|Greenville, Maine|3
Jul 21, 2018|Douglas C-47 Skytrain (DC-3)|Burnet, Texas|0
Jul 18, 2018|De Havilland DHC-2 Beaver|Willow Lake, Alaska|1
Jul 16, 2018|Curtiss C-46 Commando|Manley Hot Springs, Alaska|0
Jul 10, 2018|De Havilland DHC-3 Otter|Hydaburg, Alaska|0
Jun 24, 2018|Let L-410|Souguéta, Kindia Region|4
Jun 14, 2018|McDonnell Douglas MD-83|Kiev-Zhuliany-Igor Sikorsky, Kiev oblast|0
Jun 13, 2018|Cessna 207 Skywagon/Stationair|Susitna River, Alaska|1
Jun 6, 2018|PZL-Mielec AN-2|Băleni, Dâmbovița|0
Jun 6, 2018|Cessna 525 CitationJet CJ2|Saint-Tropez-La Môle, Var|0
Jun 5, 2018|Cessna 208B Grand Caravan|Mt Aberdare, Central|10
Jun 4, 2018|GippsAero GA10 Airvan|Mojave-Air and Space Port (Kern County), California|0
Jun 3, 2018|Partenavia P.68|Endelave Island, Sjælland|0
May 30, 2018|Cessna 208B Grand Caravan|Kamonia, Kasai-Occidental|0
May 22, 2018|Gulfstream G200|Tegucigalpa-Toncontin, Francisco Morazán|0
May 20, 2018|Gulfstream G200|Yangzhou-Taizhou, Jiangsu|0
May 18, 2018|Boeing 737-200|Havana-José Martí (Rancho Boyeros), La Habana|112
May 16, 2018|Cessna 208B Grand Caravan|Simikot, Karnali|2
May 13, 2018|Cessna 208B Grand Caravan|Clonbullogue, Leinster|2
May 2, 2018|Lockheed C-130 Hercules|Savannah, Georgia|9
Apr 26, 2018|Cessna 402|Tanner-Hiller, Massachusetts|0
Apr 15, 2018|Cessna 525 CitationJet CJ1|Crozet, Virginia|1
Apr 11, 2018|Cessna 208B Grand Caravan|Atqasuk, Alaska|0
Apr 2, 2018|Cessna 525 CitationJet CJ4|Marion-Municipal, Indiana|0
Mar 16, 2018|Beechcraft 99 Airliner|Hastings, Nebraska|0
Mar 15, 2018|Beechcraft 200 Super King Air|Blue Creek, Orange Walk|0
Mar 12, 2018|De Havilland DHC-8-400 (Dash-8)|Kathmandu-Tribhuvan, Bagmati|51
Mar 4, 2018|Boeing 737-300|Lubumbashi, Katanga|0
Mar 1, 2018|Beechcraft 60 Duke|Ferris, Texas|0
Feb 28, 2018|Airbus A320|Tallinn-Lennart Meri-Ülemiste, Harjumaa|0
Feb 27, 2018|Quest Kodiak 100|Georgetown, Florida|2
Feb 23, 2018|Beechcraft 100 King Air|Abbotsford, British Columbia|0
Feb 18, 2018|Socata TBM-700|Evanston-Uinta County, Wyoming|2
Feb 18, 2018|ATR72-200|Mt Dena, Isfahan|66
Feb 11, 2018|Antonov AN-148|Stepanovskoye, Moscow oblast|71
Jan 29, 2018|Gulfstream G200|Abuja, Abuja Federal Capital Territory|0
Jan 2, 2018|Cessna (DMI) Falcon 402|Bazaruto Island, Inhambane|0
Dec 31, 2017|De Havilland DHC-2 Beaver|Cottage Point, New South Wales|6
Dec 31, 2017|Cessna 208B Grand Caravan|Punta Islita, Guanacaste (North Pacific)|12
Dec 27, 2017|Cessna 525 CitationJet CJ2|Michigan City, Indiana|0
Dec 24, 2017|Cessna 340|Bartow, Florida|5
Dec 23, 2017|Britten-Norman Islander|Saidor Gap, Morobe|1
Dec 20, 2017|Cessna 402|Bahía Solano, Chocó|0
Dec 19, 2017|PZL-Mielec AN-2|Naryan-Mar, Nenets Autonomous Okrug|4
Dec 8, 2017|Beechcraft 90 King Air|Lake Harney, Florida|3
Dec 5, 2017|Beechcraft 90 King Air|Rockford, Illinois|0
Nov 22, 2017|Raytheon 390 Premier I|Johannesburg-Rand, Gauteng|0
Nov 17, 2017|Cessna 208B Grand Caravan|Placencia, Stann Creek|0
Nov 15, 2017|Cessna 208B Grand Caravan|Empakaai Camp, Arusha Region|11
Nov 10, 2017|Quest Kodiak 100|Goiás, Goiás|0
Nov 5, 2017|Socata TBM-850|Las Vegas-Municipal, New Mexico|0
Oct 19, 2017|Beechcraft 200 Super King Air|Nuevo Saposoa, Ucayali|0
Oct 18, 2017|Cessna 402|Saint Petersburg-Albert Whitted, Florida|0
Oct 17, 2017|Cessna 208A Caravan|Anavilhanas Archipelago, Amazonas|1
Oct 14, 2017|Antonov AN-26|Abidjan, Lagunes|4
Oct 4, 2017|PZL-Mielec AN-28|Mezhdurechenskoye, Almaty Province|5
Oct 4, 2017|Cessna 401|Salters, South Carolina|2
Sep 23, 2017|Mitsubishi MU-2 Marquise|Ainsworth, Nebraska|1
Sep 13, 2017|Piper PA-31-350 Navajo Chieftain|San Vicente, Guerrero|2
Sep 4, 2017|BAe 125|Hato Viejo, Cojedes|2
Sep 2, 2017|PZL-Mielec AN-2|Chernoye, Moscow oblast|2
Aug 19, 2017|Piper PA-61 Aerostar (Ted Smith 601)|Donegal Springs, Pennsylvania|0
Aug 14, 2017|Socata TBM-700|Yamazoe, Kansai|2
Aug 3, 2017|ATR72-500|Medan-Kualanamu-Deli Serdang, North Sumatra|0
Jul 29, 2017|Antonov AN-74|São Tomé, Água Grande|0
Jul 25, 2017|Britten-Norman Islander|Eteringbang, Cuyuni-Mazaruni|1
Jul 24, 2017|Mitsubishi MU-2 Marquise|Buenos Aires-San Fernando, Buenos Aires City|3
Jul 3, 2017|Cessna 207 Skywagon/Stationair|Hope, Alaska|0
Jun 27, 2017|PZL-Mielec AN-2|Kiliya, Odessa Oblast|0
Jun 26, 2017|Cessna 207 Skywagon/Stationair|Vinalhaven, Maine|0
Jun 13, 2017|Beechcraft 90 King Air|Ruidoso-Sierra Blanca, New Mexico|2
Jun 11, 2017|Antonov AN-32|Tarapacá, Amazonas|0
Jun 3, 2017|Fokker F27 Friendship|Garbaharey, Geedo (جوبا الوسطى‎)|0
Jun 2, 2017|Swearingen SA227 Metro III|Tampico-General Francisco Javier Mina, Tamaulipas|0
May 30, 2017|Cessna 441 Conquest|Renmark, South Australia|3
May 30, 2017|Antonov AN-26|Balashov, Saratov oblast|1
May 27, 2017|Let L-410|Lukla-Tenzing-Hillary, Sagarmatha|2
May 26, 2017|Swearingen SA226T Merlin III|Arnprior, Ontario|0
May 24, 2017|De Havilland DHC-6 Twin Otter|Perris Valley, California|0
May 17, 2017|Learjet 25|Toluca, México|2
May 15, 2017|Learjet 35|Teterboro, New Jersey|2
May 15, 2017|Mitsubishi MU-2 Marquise|Eleuthera Island, All Bahamas|4
May 5, 2017|Short 330|Charleston-Yaeger (Kanawha), West Virginia|2
May 3, 2017|Piper PA-31-310 Navajo|Colton, New York|1
May 1, 2017|Cessna 208B Grand Caravan|Chignik, Alaska|1
Apr 30, 2017|Piper PA-31-310 Navajo|Schefferville, Quebec|2
Apr 28, 2017|Pilatus PC-12|Amarillo-Rick Husband, Texas|3
Apr 25, 2017|Cessna 421C Golden Eagle III|Huntsville, Texas|1
Apr 12, 2017|Cessna 208A Caravan|Oksibil, Special Region of Papua|1
Apr 9, 2017|Piper PA-31-310 Navajo|Purísima de la Concepción, Córdoba|0
Mar 31, 2017|Piper PA-42 Cheyenne|Sorocaba, São Paulo|2
Mar 27, 2017|Britten-Norman Islander|Mutare, Manicaland|6
Mar 24, 2017|Cessna 500 Citation|Marietta, Georgia|1
Mar 20, 2017|Antonov AN-26|Wau, Western Bahr el Ghazal (غرب بحر الغزال)|0
Mar 14, 2017|Pilatus PC-12|Cannon AFB (Clovis), New Mexico|3
Mar 8, 2017|Pilatus PC-12|Cat Cay, Bimini|0
Mar 4, 2017|Beechcraft 60 Duke|Duette, Florida|2
Mar 4, 2017|Cessna 421B Golden Eagle II|Cherokee County, Georgia|1
Feb 27, 2017|Socata TBM-700|Bellingham, Washington|0
Feb 21, 2017|Beechcraft 200 Super King Air|Melbourne-Essendon, Victoria|5
Feb 14, 2017|Beechcraft 200 Super King Air|Unalaska-Tom Madsen, Alaska|0
Feb 14, 2017|Beechcraft 90 King Air|Rattan, Oklahoma|0
Jan 27, 2017|Beechcraft 200 Super King Air|West Palm Beach, Florida|0
Jan 26, 2017|Grumman G-73 Mallard|Perth, Western Australia|2
Jan 23, 2017|Beechcraft 300 Super King Air|Tucson, Arizona|2
Jan 19, 2017|Beechcraft 90 King Air|Paraty, Rio de Janeiro|5
Jan 16, 2017|Cessna 525 CitationJet CJ4|Howell, Michigan|0
Jan 16, 2017|Boeing 747-400|Bishkek-Manas, Bishkek City|39
Dec 29, 2016|Cessna 525 CitationJet CJ4|Cleveland-Burke Lakefront, Ohio|6
Dec 27, 2016|Epic LT|Spruce Creek, Florida|2
Dec 25, 2016|ATR72-600|Semarang-Ahmad Yani, Central Java|0
Dec 25, 2016|Tupolev TU-154|Sochi-Adler, Krasnodar Krai|92
Dec 20, 2016|Boeing 727-200|Puerto Carreño, Vichada|5
Dec 19, 2016|Ilyushin II-18|Tiksi, Republic of Yakutia (Sakha)|0
Dec 13, 2016|Beechcraft 200 Super King Air|Moomba, South Australia|0
Dec 12, 2016|PAC 750XL - Pacific Aerospace Corporation|Tiniroto, Gisborne District Council|2
Dec 12, 2016|Quest Kodiak 100|Moab, Utah|1
Dec 10, 2016|Boeing 737-400|Kabul, Kabul|0
Dec 5, 2016|Swearingen SA227 Metro III|Camilla, Georgia|1
Dec 4, 2016|Cessna 500 Citation|Gunnison-Crested Butte, Colorado|0
Nov 29, 2016|Piper PA-31-350 Navajo Chieftain|El Sacrificio, Campeche|0
Nov 28, 2016|Avro RJ85|La Ceja, Antioquia|71
Nov 24, 2016|Piper PA-31-310 Navajo|Zielona Góra-Przylep, Lubusz Voivodeship (Lubuskie)|1
Nov 23, 2016|Beechcraft 200 Super King Air|Moorhead, Minnesota|0
Oct 31, 2016|De Havilland DHC-4 Caribou|Ilaga, Special Region of West Papua|4
Oct 30, 2016|Beechcraft 100 King Air|Jeffersonville-Clark County, Indiana|0
Oct 28, 2016|Pilatus PC-6 (Porter & Turbo Porter)|Port Alsworth, Alaska|1
Oct 23, 2016|Beechcraft D18|Deming, New Mexico|0
Oct 21, 2016|Airbus A300|Recife-Guararapes, Pernambuco|0
Oct 20, 2016|Piper PA-61 Aerostar (Ted Smith 601)|Carrollton, Georgia|0
Oct 17, 2016|Piper PA-61 Aerostar (Ted Smith 601)|Karlsruhe-Baden-Baden, Baden-Württemberg|0
Oct 15, 2016|Socata TBM-900|Fairoaks, Surrey|0
Oct 11, 2016|Antonov AN-26|Belaya Gora, Republic of Yakutia (Sakha)|0
Oct 10, 2016|De Havilland DHC-2 Beaver|Laidman Lake, British Columbia|1
Oct 9, 2016|Cessna 207 Skywagon/Stationair|Uchuquinua, Cajamarca|3
Oct 2, 2016|Cessna 208B Grand Caravan|Togiak, Alaska|3
Sep 30, 2016|Cessna 208B Grand Caravan|San Antonio de Prado, Antioquia|4
Sep 30, 2016|De Havilland DHC-2 Beaver|Lopez Island, Washington|0
Sep 21, 2016|Beechcraft 100 King Air|Jackson-McKellar Sipes, Tennessee|0
Sep 13, 2016|Boeing 737-300|Wamena, Special Region of Papua|0
Sep 10, 2016|Beechcraft 200 Super King Air|Orlando-Apopka, Florida|0
Sep 7, 2016|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Chariton, Iowa|1
Aug 31, 2016|Cessna 208B Grand Caravan|Russian Mission, Alaska|3
Aug 14, 2016|Piper PA-31-310 Navajo|Tuscaloosa, Alabama|6
Aug 8, 2016|De Havilland DHC-2 Beaver|Iliamna, Alaska|0
Aug 5, 2016|Boeing 737-400|Bergamo-Orio al Serio, Lombardy|0
Aug 3, 2016|Boeing 777-300|Dubai, Dubai|0
Aug 2, 2016|Cessna 414 Chancellor|Destin-Executive, Florida|1
Jul 31, 2016|PZL-Mielec AN-2|Krapivninsky, Kemerovo oblast|3
Jul 26, 2016|Embraer EMB-505 Phenom 300|Houston-Sugar Land, Texas|0
Jul 20, 2016|Cessna 208B Grand Caravan|Jinshan, Shanghai|5
Jul 17, 2016|Beechcraft 200 Super King Air|Iqaluit, Nunavut|0
Jun 30, 2016|PZL-Mielec AN-2|Novopokrovskoye, Saratov oblast|2
Jun 20, 2016|Swearingen SA226T Merlin III|Farmingdale-Republic, New York|0
Jun 19, 2016|BAe 146|Khark, Bushehr|0
Jun 17, 2016|Cessna 207 Skywagon/Stationair|Goodnews Bay, Alaska|0
Jun 16, 2016|Piper PA-31-310 Navajo|State College-University Park, Pennsylvania|2
Jun 11, 2016|Pilatus PC-6 (Porter & Turbo Porter)|Cecina, Tuscany|2
Jun 3, 2016|Cessna 208B Grand Caravan|Akobo, Jonglei (جونقلي)|0
Apr 28, 2016|Embraer ERJ-190|Cuenca-Mariscal La Mar, Azuay|0
Apr 26, 2016|Cessna 421B Golden Eagle II|Foley, Alabama|0
Apr 24, 2016|Swearingen SA226AT Merlin IV|Girona, Catalonia|0
Apr 21, 2016|Beechcraft 300 Super King Air|Porto Seguro-Terravista Golf Club, Bahia|0
Apr 20, 2016|Beechcraft 1900D|Gander, Newfoundland & Labrador|0
Apr 19, 2016|Beechcraft 90 King Air|Slidell, Louisiana|2
Apr 13, 2016|Britten-Norman Islander|Kiunga, Western (Fly)|12
Apr 9, 2016|De Havilland DHC-6 Twin Otter|Fentress, Texas|0
Apr 6, 2016|BAe 125|Kanoya AFB, Kyūshū|6
Apr 4, 2016|ATR42-600|Jakarta-Halim Perdanakusuma, City District of Jakarta|0
Apr 3, 2016|PZL-Mielec AN-2|Aksarino, Republic of Tatarstan|0
Mar 29, 2016|Mitsubishi MU-2 Marquise|Le Havre-aux-Maisons (Magdalen Islands), Quebec|7
Mar 19, 2016|Boeing 737-800|Rostov-on-Don, Rostov oblast|62
Mar 18, 2016|Beechcraft 90 King Air|Oeiras, Piauí|0
Mar 18, 2016|Cessna 340|Tampa-Peter O’Knight, Florida|2
Mar 14, 2016|Beechcraft Beechjet 400|Rome-Richard B. Russell, Georgia|0
Mar 9, 2016|Antonov AN-26|Cox's Bazar, Chittagong|3
Mar 2, 2016|Travel Air 4000|Palmer Lake, Colorado|2
Feb 24, 2016|De Havilland DHC-6 Twin Otter|Dana, Dhawalagiri|23
Feb 6, 2016|PZL-Mielec AN-2|Gai, Orenburg oblast|3
Feb 1, 2016|Socata TBM-900|Florianópolis-Hercílio Luz, Santa Catarina|2
Jan 30, 2016|Rockwell Sabreliner 75|Santiago de Querétaro, Querétaro|0
Jan 29, 2016|Cessna 425 Conquest|Windhoek-Hosea Kutako, Khomas Region|3
Jan 28, 2016|McDonnell Douglas MD-83|Mashhad, Razavi Khorasan|0
Jan 28, 2016|Cessna 208A Caravan|Whitsunday Island, Queensland|0
Jan 18, 2016|Cessna 525 CitationJet CJ1|Cedar Fort, Utah|2
Jan 6, 2016|Pilatus PC-12|Savannah, Georgia|0
Jan 3, 2016|Beechcraft 90 King Air|Paraty, Rio de Janeiro|2
Jan 2, 2016|Cessna 208B Grand Caravan|Anaktuvuk Pass, Alaska|0
Dec 24, 2015|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Corinth-Roscoe Turner, Mississippi|0
Dec 23, 2015|Beechcraft Beechjet 400|Telluride, Colorado|0
Dec 22, 2015|Beechcraft 200 Super King Air|New Delhi-Indira Gandhi, National Capital Territory of Delhi|10
Dec 21, 2015|Embraer ERJ-190|Kupang, East Nusa Tenggara|0
Dec 15, 2015|Boeing 737-300|Nashville-Intl, Tennessee|0
Dec 10, 2015|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Omaha-Eppley, Nebraska|1
Dec 8, 2015|Cessna 340|Augsburg, Bavaria|0
Nov 26, 2015|Boeing 737-300|Mexico City-Benito Juarez, Federal District of Mexico City|0
Nov 22, 2015|Boeing 737-300|Osh, Osh City|0
Nov 21, 2015|Piper PA-31-310 Navajo|Guatemala City-La Aurora, Guatemala|0
