Image|Date|Operator|A/C Type|Location|Fatalities|Registration|Unnamed: 7
|Nov 14, 2019|José João Abdalla Filho|Cessna 550 Citation II|Maraú-Barra Grande, Bahia|5|PT-LTJ|+
|Oct 29, 2019|Warbird Associates|Cessna 414 Chancellor|Colonia, New Jersey|1|N959MJ|+
|Oct 17, 2019||Saab 2000|Unalaska-Tom Madsen, Alaska|1|N686PA|+
|Oct 14, 2019|MT Margaret|Socata TBM-850|Breckenridge-Stephens County, Texas|0|N850NK|+
|Oct 5, 2019||Piper PA-60 Aerostar (Ted Smith 600)|Kokomo, Indiana|1|N326CW|+
|Oct 4, 2019||Antonov AN-12|Lviv-Danylo Halytskyi, Lviv Oblast|5|UR-CAH|+
|Oct 2, 2019||Boeing B-17 Flying Fortress|Windsor Locks-Bradley, Connecticut|7|N93012|+
|Sep 30, 2019||Gulfstream GII|Blue Creek, Orange Walk|0|XB-PVO|+
|Sep 29, 2019|Martin Flores|Cessna 421A Golden Eagle I|DeLand, Florida|3|N731PF|+
|Aug 30, 2019||Antonov AN-2|Lake Siljan-Kuel, Republic of Yakutia (Sakha)|2|RA-33061|+
|Aug 27, 2019||Cessna 560XLS Citation Excel|Aligarh-Dhanipur, Uttar Pradesh|0|VT-AVV|+
|Aug 15, 2019||Cessna 680 Citation Latitude|Elizabethton, Tennessee|0|N8JR|+
|Aug 6, 2019||Cessna 208B Grand Caravan|Mayo, Yukon|2|C-FSKF|+
|Aug 2, 2019||Grumman S-2 Tracker|Générac, Gard|1|F-ZBAA|+
|Aug 1, 2019||Douglas C-118 Liftmaster|Candle, Alaska|0|N451CE|+
|Jul 26, 2019||Cessna 208A Caravan|Addenbroke Island, British Columbia|4|C-GURL|+
|Jul 17, 2019|Avia Jet|Cessna 550 Citation II|Mesquite, Nevada|0|N320JT|+
|Jul 14, 2019||GippsAero GA8 Airvan|Umeå, Västerbotten|9|SE-MES|+
|Jul 12, 2019|Jim Duggan|De Havilland DHC-2 Beaver|Lake Boulène, Quebec|3|C-GRHF|+
|Jul 11, 2019||De Havilland DHC-2 Beaver|Hawk Junction, Ontario|2|C-FBBG|+
|Jul 8, 2019||Cessna 208B Grand Caravan|Bethel, Alaska|0|N9448B|+
|Jul 1, 2019||Boeing 737-800|Mumbai-Chhatrapati Shivaji (Santa Cruz), Maharashtra|0|VT-SYK|+
|Jun 30, 2019|EE Operations|Beechcraft 350 Super King Air|Addison, Texas|10|N534FF|+
|Jun 21, 2019||Beechcraft 90 King Air|Dillingham (O'ahu Island), Hawaii|11|N256TA|+
|Jun 20, 2019||PZL-Mielec AN-2|Rodina, Akmola|2|UP-A0116|+
|Jun 9, 2019||PZL-Mielec AN-2|Dabady, Irkutsk oblast|0|RA-81519|+
|May 22, 2019||Cessna 550 Citation II|Indianapolis-Regional, Indiana|2|N311G|+
|May 20, 2019||De Havilland DHC-2 Beaver|Metlakatla, Alaska|2|N67667|+
|May 13, 2019||De Havilland DHC-2 Beaver|Ketchikan, Alaska|5|N952DB|+
|May 13, 2019||De Havilland DHC-3 Otter|Ketchikan, Alaska|1|N959PA|+
|May 8, 2019||De Havilland DHC-8-400 (Dash-8)|Yangon-Mingaladon, Yangon Region|0|S2-AGQ|+
|May 5, 2019||Sukhoi Superjet 100-95|Moscow-Sheremetyevo, Moscow oblast|41|RA-89098|+
|May 5, 2019|Roberto Decena|Beechcraft 60 Duke|Santa Rosa-Route 66, New Mexico|2|N102SN|+
|May 1, 2019||Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Makkovik, Newfoundland & Labrador|1|N757NY|+
|Apr 24, 2019||Beechcraft 200 Super King Air|Gillam, Manitoba|0|C-FRMV|+
|Apr 24, 2019|Advance Air|Cessna 551 Citation II|Siegerland, North Rhine-Westphalia|0|D-IADV|+
|Apr 23, 2019||Cessna 208A Caravan|Dry Tortugas, Florida|0|N366TA|+
|Apr 18, 2019|KMA Technology Solutions|Beechcraft 60 Duke|Fullerton, California|1|N65MY|+
|Apr 14, 2019||Let L-410|Lukla-Tenzing-Hillary, Sagarmatha|3|9N-AMH|+
|Apr 13, 2019||Piper PA-31-350 Navajo Chieftain|Sayaxché, Petén|2|N2613|+
|Apr 5, 2019||Piper PA-31-350 Navajo Chieftain|San Rafael de Yuma, La Altagracia|0|YV312|+
|Mar 31, 2019||Epic LT|Egelsbach, Hesse|3|RA-2151G|+
|Mar 23, 2019||Beechcraft 200 Super King Air|Matsieng, Kgatleng District|1|A2-MBM|+
|Mar 22, 2019||Rockwell Sabreliner 60|Bajamar, Cortés|0|N990PA|+
|Mar 12, 2019||Piper PA-31-350 Navajo Chieftain|Madeira, Ohio|1|N400JM|+
|Mar 10, 2019||BAe 125|San Pedro de Peralta, Quintana Roo|1|N18BA|+
|Feb 28, 2019||Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Shreveport-Downtown, Louisiana|2|N428CD|+
|Feb 26, 2019||Gulfstream G200|Moscow-Sheremetyevo, Moscow oblast|0|4K-AZ88|+
|Feb 23, 2019||Boeing 767-300|Anahuac, Texas|3|N1217A|+
|Feb 15, 2019|Charles S. Azzopardi|Cessna 421C Golden Eagle III|Canadian, Texas|2|N421NS|+
|Feb 9, 2019||Cessna 208A Caravan|Caracaraí, Roraima|0|PR-RTA|+
|Feb 8, 2019||Convair C-131 Samaritan|Miami, Florida|1|N145GT|+
|Feb 6, 2019||Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Aurora-State, Oregon|0|N997MA|+
|Feb 3, 2019|KL Management|Cessna 414 Chancellor|Yorba Linda, California|5|N414RS|+
|Jan 14, 2019||Boeing 707|Fath, Tehran City District|15|EP-CPP|+
|Dec 20, 2018|Chen Aircrafts|Cessna 560 Citation V|Atlanta-Fulton County-Brown Field, Georgia|4|N188CW|+
|Dec 8, 2018||Britten-Norman Islander|West Portal (Southwest National Park), Tasmania|1|VH-OBL|+
|Nov 30, 2018||Cessna 550 Citation II|Fargo-Hector, North Dakota|0|N941JM|+
|Nov 18, 2018||Cessna 441 Conquest|Harmon, North Dakota|3|N441CX|+
|Nov 7, 2018||Boeing 747-400|Halifax-Stanfield, Nova Scotia|0|N908AR|+
|Oct 21, 2018|Keystone Aviation|Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class)|Hurricane, Utah|0|N413LL|+
|Oct 10, 2018||Sukhoi Superjet 100-95|Yakutsk-Intl (Platon Oyunsky), Republic of Yakutia (Sakha)|0|RA-89011|+
|Oct 3, 2018||Antonov AN-26|Khartoum, Khartoum (الخرطوم)|0|7706|+
|Oct 3, 2018||Antonov AN-32|Khartoum, Khartoum (الخرطوم)|0|-|+
|Sep 28, 2018||Boeing 737-800|Weno Island, Chuuk Island|1|P2-PXE|+
|Sep 27, 2018||Cessna 208B Grand Caravan|Pacific Ocean, All World|1|VH-FAY|+
|Sep 25, 2018||Beechcraft 200 Super King Air|Oscoda-Wurtsmith, Michigan|1|N241CK|+
|Sep 20, 2018||De Havilland DHC-2 Beaver|Igiugig, Alaska|0|N121AK|+
|Sep 15, 2018||Beechcraft 90 King Air|Ipumirim, Santa Catarina|1|PR-RFB|+
|Sep 9, 2018||Let L-410|Yirol, Lakes (البحيرات)|20|UR-TWO|+
|Sep 6, 2018||Cessna 340|Saint Clair County (Port Huron), Michigan|1|C-GLKX|+
|Sep 6, 2018||Beechcraft 100 King Air|Itapaci, Goiás|0|PT-LJN|+
|Sep 5, 2018|Gabriel Claudio de Sales|Beechcraft 90 King Air|Vila Rica, Mato Grosso|0|PR-GVJ|+
|Sep 1, 2018||Boeing 737-800|Sochi-Adler, Krasnodar Krai|0|VQ-BJI|+
|Aug 30, 2018|Henry Leasing Company|Beechcraft 60 Duke|Destin-Fort Walton Beach, Florida|4|N1876L|+
|Aug 21, 2018||Piper PA-31-310 Navajo|Limoges, Haute-Vienne|0|F-HGPS|+
|Aug 16, 2018||Boeing 737-800|Manila-Ninoy Aquino, Metro Manila|0|B-5498|+
|Aug 13, 2018||Cessna 525 CitationJet CJ1|Payson, Utah|1|N526CP|+
|Aug 11, 2018||PAC 750XL - Pacific Aerospace Corporation|Oksibil, Special Region of Papua|8|PK-HVQ|+
|Aug 10, 2018||De Havilland DHC-8-400 (Dash-8)|Ketron Island, Washington|1|N449QX|+
|Aug 5, 2018|Category III Aviation|Cessna 414 Chancellor|Santa Ana-John Wayne, California|5|N727RP|+
|Aug 4, 2018||Junkers JU.52|Piz Segnas, Glarus|20|HB-HOT|+
|Aug 1, 2018||Piper PA-31-310 Navajo|Mt Rae, Alberta|2|C-FNCI|+
|Jul 30, 2018|Joe Robertson|Piper PA-60 Aerostar (Ted Smith 600)|Greenville, Maine|3|C-GRRS|+
|Jul 21, 2018||Douglas C-47 Skytrain (DC-3)|Burnet, Texas|0|N47HL|+
|Jul 18, 2018||De Havilland DHC-2 Beaver|Willow Lake, Alaska|1|N9878R|+
|Jul 16, 2018||Curtiss C-46 Commando|Manley Hot Springs, Alaska|0|N1822M|+
|Jul 10, 2018||De Havilland DHC-3 Otter|Hydaburg, Alaska|0|N3952B|+
|Jun 24, 2018|Eagle Air - Guinea|Let L-410|Souguéta, Kindia Region|4|3X-AAJ|+
|Jun 14, 2018||McDonnell Douglas MD-83|Kiev-Zhuliany-Igor Sikorsky, Kiev oblast|0|UR-CPR|+
|Jun 13, 2018||Cessna 207 Skywagon/Stationair|Susitna River, Alaska|1|N91038|+
|Jun 6, 2018|Aeroserv|PZL-Mielec AN-2|Băleni, Dâmbovița|0|YR-DAX|+
|Jun 6, 2018||Cessna 525 CitationJet CJ2|Saint-Tropez-La Môle, Var|0|D-IULI|+
|Jun 5, 2018||Cessna 208B Grand Caravan|Mt Aberdare, Central|10|5Y-CAC|+
|Jun 4, 2018||GippsAero GA10 Airvan|Mojave-Air and Space Port (Kern County), California|0|VH-XMH|+
|Jun 3, 2018||Partenavia P.68|Endelave Island, Sjælland|0|D-GATA|+
|May 30, 2018||Cessna 208B Grand Caravan|Kamonia, Kasai-Occidental|0|5X-MRH|+
|May 22, 2018||Gulfstream G200|Tegucigalpa-Toncontin, Francisco Morazán|0|N813WM|+
|May 20, 2018||Gulfstream G200|Yangzhou-Taizhou, Jiangsu|0|B-8129|+
|May 18, 2018||Boeing 737-200|Havana-José Martí (Rancho Boyeros), La Habana|112|XA-UHZ|+
|May 16, 2018||Cessna 208B Grand Caravan|Simikot, Karnali|2|9N-AJU|+
|May 13, 2018||Cessna 208B Grand Caravan|Clonbullogue, Leinster|2|G-KNYS|+
|May 2, 2018||Lockheed C-130 Hercules|Savannah, Georgia|9|65-0968|+
|Apr 26, 2018|AC Research Inc.|Cessna 402|Tanner-Hiller, Massachusetts|0|N87266|+
|Apr 15, 2018|Augusta Aviation LLC|Cessna 525 CitationJet CJ1|Crozet, Virginia|1|N525P|+
|Apr 11, 2018||Cessna 208B Grand Caravan|Atqasuk, Alaska|0|N814GV|+
|Apr 2, 2018||Cessna 525 CitationJet CJ4|Marion-Municipal, Indiana|0|N511AC|+
|Mar 16, 2018||Beechcraft 99 Airliner|Hastings, Nebraska|0|N213AV|+
|Mar 15, 2018||Beechcraft 200 Super King Air|Blue Creek, Orange Walk|0|YV3284|+
|Mar 12, 2018||De Havilland DHC-8-400 (Dash-8)|Kathmandu-Tribhuvan, Bagmati|51|S2-AGU|+
|Mar 4, 2018||Boeing 737-300|Lubumbashi, Katanga|0|9S-ASG|+
|Mar 1, 2018|Mike & Mayo Partners|Beechcraft 60 Duke|Ferris, Texas|0|N77MM|+
|Feb 28, 2018||Airbus A320|Tallinn-Lennart Meri-Ülemiste, Harjumaa|0|ES-SAN|+
|Feb 27, 2018|Pegasus of Montana|Quest Kodiak 100|Georgetown, Florida|2|N969TB|+
|Feb 23, 2018||Beechcraft 100 King Air|Abbotsford, British Columbia|0|C-GIAE|+
|Feb 18, 2018|William E. Patterson|Socata TBM-700|Evanston-Uinta County, Wyoming|2|N700VX|+
|Feb 18, 2018||ATR72-200|Mt Dena, Isfahan|66|EP-ATS|+
|Feb 11, 2018||Antonov AN-148|Stepanovskoye, Moscow oblast|71|RA-61704|+
|Jan 29, 2018||Gulfstream G200|Abuja, Abuja Federal Capital Territory|0|5N-BTF|+
|Jan 2, 2018|HRH Holdings|Cessna (DMI) Falcon 402|Bazaruto Island, Inhambane|0|ZU-MDI|+
|Dec 31, 2017||De Havilland DHC-2 Beaver|Cottage Point, New South Wales|6|VH-NOO|+
|Dec 31, 2017||Cessna 208B Grand Caravan|Punta Islita, Guanacaste (North Pacific)|12|TI-BEI|+
|Dec 27, 2017|Van E Aviation|Cessna 525 CitationJet CJ2|Michigan City, Indiana|0|N525KT|+
|Dec 24, 2017|Aviation Transportation|Cessna 340|Bartow, Florida|5|N247AT|+
|Dec 23, 2017||Britten-Norman Islander|Saidor Gap, Morobe|1|P2-ISM|+
|Dec 20, 2017||Cessna 402|Bahía Solano, Chocó|0|HK-4417|+
|Dec 19, 2017||PZL-Mielec AN-2|Naryan-Mar, Nenets Autonomous Okrug|4|RA-01460|+
|Dec 8, 2017||Beechcraft 90 King Air|Lake Harney, Florida|3|N19LW|+
|Dec 5, 2017|Edward B. Noakes III|Beechcraft 90 King Air|Rockford, Illinois|0|N500KR|+
|Nov 22, 2017|Multimanaged Investments|Raytheon 390 Premier I|Johannesburg-Rand, Gauteng|0|ZS-CBI|+
|Nov 17, 2017||Cessna 208B Grand Caravan|Placencia, Stann Creek|0|V3-HGX|+
|Nov 15, 2017||Cessna 208B Grand Caravan|Empakaai Camp, Arusha Region|11|5H-EGG|+
|Nov 10, 2017||Quest Kodiak 100|Goiás, Goiás|0|N154KQ|+
|Nov 5, 2017|Oso Rio|Socata TBM-850|Las Vegas-Municipal, New Mexico|0|N893CA|+
|Oct 19, 2017||Beechcraft 200 Super King Air|Nuevo Saposoa, Ucayali|0|OB-2077-P|+
|Oct 18, 2017||Cessna 402|Saint Petersburg-Albert Whitted, Florida|0|N900CR|+
|Oct 17, 2017||Cessna 208A Caravan|Anavilhanas Archipelago, Amazonas|1|PR-MPE|+
|Oct 14, 2017||Antonov AN-26|Abidjan, Lagunes|4|ER-AVB|+
|Oct 4, 2017||PZL-Mielec AN-28|Mezhdurechenskoye, Almaty Province|5|UP-A2807|+
|Oct 4, 2017|Haddock Flying Service|Cessna 401|Salters, South Carolina|2|N401HH|+
|Sep 23, 2017|RA Aircraft Management|Mitsubishi MU-2 Marquise|Ainsworth, Nebraska|1|N73MA|+
|Sep 13, 2017||Piper PA-31-350 Navajo Chieftain|San Vicente, Guerrero|2|XB-OUE|+
|Sep 4, 2017||BAe 125|Hato Viejo, Cojedes|2|-|+
|Sep 2, 2017|Yevgeni Sologubov|PZL-Mielec AN-2|Chernoye, Moscow oblast|2|RA-35171|+
|Aug 19, 2017|Kurt Heitmeier|Piper PA-61 Aerostar (Ted Smith 601)|Donegal Springs, Pennsylvania|0|N7108|+
|Aug 14, 2017|Sky West Aviation|Socata TBM-700|Yamazoe, Kansai|2|N702AV|+
|Aug 3, 2017||ATR72-500|Medan-Kualanamu-Deli Serdang, North Sumatra|0|PK-WFF|+
|Jul 29, 2017||Antonov AN-74|São Tomé, Água Grande|0|UR-CKC|+
|Jul 25, 2017||Britten-Norman Islander|Eteringbang, Cuyuni-Mazaruni|1|8R-GRA|+
|Jul 24, 2017|Aibal|Mitsubishi MU-2 Marquise|Buenos Aires-San Fernando, Buenos Aires City|3|LV-MCV|+
|Jul 3, 2017||Cessna 207 Skywagon/Stationair|Hope, Alaska|0|N9620M|+
|Jun 27, 2017|Kharkiv Aeroklub|PZL-Mielec AN-2|Kiliya, Odessa Oblast|0|UR-19717|+
|Jun 26, 2017||Cessna 207 Skywagon/Stationair|Vinalhaven, Maine|0|N207GM|+
|Jun 13, 2017||Beechcraft 90 King Air|Ruidoso-Sierra Blanca, New Mexico|2|N48TA|+
|Jun 11, 2017||Antonov AN-32|Tarapacá, Amazonas|0|HK-4833|+
|Jun 3, 2017|Safari Express Cargo|Fokker F27 Friendship|Garbaharey, Geedo (جوبا الوسطى‎)|0|5Y-FMM|+
|Jun 2, 2017||Swearingen SA227 Metro III|Tampico-General Francisco Javier Mina, Tamaulipas|0|XA-UAJ|+
|May 30, 2017||Cessna 441 Conquest|Renmark, South Australia|3|VH-XMJ|+
|May 30, 2017||Antonov AN-26|Balashov, Saratov oblast|1|RF-36160|+
|May 27, 2017||Let L-410|Lukla-Tenzing-Hillary, Sagarmatha|2|9N-AKY|+
|May 26, 2017||Swearingen SA226T Merlin III|Arnprior, Ontario|0|C-GFPX|+
|May 24, 2017||De Havilland DHC-6 Twin Otter|Perris Valley, California|0|N708PV|+
|May 17, 2017||Learjet 25|Toluca, México|2|XA-VMC|+
|May 15, 2017|Trans-Pacific Air Charter|Learjet 35|Teterboro, New Jersey|2|N452DA|+
|May 15, 2017|Ithaca Consulting|Mitsubishi MU-2 Marquise|Eleuthera Island, All Bahamas|4|N220N|+
|May 5, 2017||Short 330|Charleston-Yaeger (Kanawha), West Virginia|2|N334AC|+
|May 3, 2017||Piper PA-31-310 Navajo|Colton, New York|1|C-GQAM|+
|May 1, 2017||Cessna 208B Grand Caravan|Chignik, Alaska|1|N803TH|+
|Apr 30, 2017||Piper PA-31-310 Navajo|Schefferville, Quebec|2|C-FQQB|+
|Apr 28, 2017||Pilatus PC-12|Amarillo-Rick Husband, Texas|3|N933DC|+
|Apr 25, 2017|Klass Enterprises|Cessna 421C Golden Eagle III|Huntsville, Texas|1|N421TK|+
|Apr 12, 2017||Cessna 208A Caravan|Oksibil, Special Region of Papua|1|PK-FSO|+
|Apr 9, 2017|GAME S.A.|Piper PA-31-310 Navajo|Purísima de la Concepción, Córdoba|0|HP-1928|+
|Mar 31, 2017||Piper PA-42 Cheyenne|Sorocaba, São Paulo|2|PP-EPB|+
|Mar 27, 2017||Britten-Norman Islander|Mutare, Manicaland|6|C9-AOV|+
|Mar 24, 2017|Shelter Charter Services|Cessna 500 Citation|Marietta, Georgia|1|N8DX|+
|Mar 20, 2017||Antonov AN-26|Wau, Western Bahr el Ghazal (غرب بحر الغزال)|0|S9-TLZ|+
|Mar 14, 2017||Pilatus PC-12|Cannon AFB (Clovis), New Mexico|3|08-0724|+
|Mar 8, 2017|Tomcat Air|Pilatus PC-12|Cat Cay, Bimini|0|N8TS|+
|Mar 4, 2017|David B. Mutchler|Beechcraft 60 Duke|Duette, Florida|2|N39AG|+
|Mar 4, 2017|Michael W. Rogers|Cessna 421B Golden Eagle II|Cherokee County, Georgia|1|N421KL|+
|Feb 27, 2017|4197802 Manitoba|Socata TBM-700|Bellingham, Washington|0|C-GWVS|+
|Feb 21, 2017|Corporate & Leisure Aviation|Beechcraft 200 Super King Air|Melbourne-Essendon, Victoria|5|VH-ZCR|+
|Feb 14, 2017||Beechcraft 200 Super King Air|Unalaska-Tom Madsen, Alaska|0|N313HS|+
|Feb 14, 2017||Beechcraft 90 King Air|Rattan, Oklahoma|0|N1551C|+
|Jan 27, 2017|Eastern Air Express|Beechcraft 200 Super King Air|West Palm Beach, Florida|0|N60RA|+
|Jan 26, 2017||Grumman G-73 Mallard|Perth, Western Australia|2|VH-CQA|+
|Jan 23, 2017|KAAZ LLC|Beechcraft 300 Super King Air|Tucson, Arizona|2|N385KA|+
|Jan 19, 2017||Beechcraft 90 King Air|Paraty, Rio de Janeiro|5|PR-SOM|+
|Jan 16, 2017|Zeliff Aviation|Cessna 525 CitationJet CJ4|Howell, Michigan|0|N525PZ|+
|Jan 16, 2017||Boeing 747-400|Bishkek-Manas, Bishkek City|39|TC-MCL|+
|Dec 29, 2016||Cessna 525 CitationJet CJ4|Cleveland-Burke Lakefront, Ohio|6|N614SB|+
|Dec 27, 2016|Independent Technologies|Epic LT|Spruce Creek, Florida|2|N669WR|+
|Dec 25, 2016||ATR72-600|Semarang-Ahmad Yani, Central Java|0|PK-WGW|+
|Dec 25, 2016||Tupolev TU-154|Sochi-Adler, Krasnodar Krai|92|RA-85572|+
|Dec 20, 2016||Boeing 727-200|Puerto Carreño, Vichada|5|HK-4544|+
|Dec 19, 2016||Ilyushin II-18|Tiksi, Republic of Yakutia (Sakha)|0|RF-91821|+
|Dec 13, 2016||Beechcraft 200 Super King Air|Moomba, South Australia|0|VH-MVL|+
|Dec 12, 2016||PAC 750XL - Pacific Aerospace Corporation|Tiniroto, Gisborne District Council|2|ZK-JPU|+
|Dec 12, 2016||Quest Kodiak 100|Moab, Utah|1|N772RT|+
|Dec 10, 2016||Boeing 737-400|Kabul, Kabul|0|JY-JAQ|+
|Dec 5, 2016||Swearingen SA227 Metro III|Camilla, Georgia|1|N765FA|+
|Dec 4, 2016|Yatish Air|Cessna 500 Citation|Gunnison-Crested Butte, Colorado|0|N332SE|+
|Nov 29, 2016||Piper PA-31-350 Navajo Chieftain|El Sacrificio, Campeche|0|N633D|+
|Nov 28, 2016||Avro RJ85|La Ceja, Antioquia|71|CP-2933|+
|Nov 24, 2016||Piper PA-31-310 Navajo|Zielona Góra-Przylep, Lubusz Voivodeship (Lubuskie)|1|D-IFBU|+
|Nov 23, 2016|Flight Development|Beechcraft 200 Super King Air|Moorhead, Minnesota|0|N80RT|+
